skill,job_count
information_technology,21821
management,15341
sales,14300
manufacturing,13537
health_care_provider,12056
engineering,10765
other,9299
business_development,8505
finance,6546
accounting_auditing,4410
marketing,4262
administrative,4134
project_management,3480
analyst,3107
customer_service,2422
research,2344
human_resources,2306
design,1996
legal,1960
consulting,1758
education,1669
training,1545
quality_assurance,1517
art_creative,1435
general_business,1209
writing_editing,1194
public_relations,1105
product_management,1073
strategy_planning,1047
supply_chain,1034
science,712
production,677
purchasing,544
advertising,467
distribution,298
